Solanum_lycopersicum.SL3.0.dna.chromosome.1	Solanum_lycopersicum.SL3.0.dna.chromosome.10	Solanum_lycopersicum.SL3.0.dna.chromosome.11	Solanum_lycopersicum.SL3.0.dna.chromosome.12	Solanum_lycopersicum.SL3.0.dna.chromosome.2	Solanum_lycopersicum.SL3.0.dna.chromosome.3	Solanum_lycopersicum.SL3.0.dna.chromosome.4	Solanum_lycopersicum.SL3.0.dna.chromosome.5	Solanum_lycopersicum.SL3.0.dna.chromosome.6	Solanum_lycopersicum.SL3.0.dna.chromosome.7	Solanum_lycopersicum.SL3.0.dna.chromosome.8	Solanum_lycopersicum.SL3.0.dna.chromosome.9
Super-Scaffold_1000223	40.1196284547873	39.4880584913444	65.033925548712	38.8081250622324	33.5087694342897	39.1736959644955	37.0464147024936	40.0335699349938	36.4646306595923	37.7334604059686	61.5325528797599	37.2469808395329
Super-Scaffold_1000256	5.52795509469205	24.6955123576249	5.22499189637632	4.67089659776179	4.53883160188582	4.59643954054861	5.15550934083039	5.84985349290251	5.45767020016753	4.42570180590457	5.08586631748874	5.15695355099185
Super-Scaffold_1000366	0	1.36229869227121	0	0	0	34.0990443770261	0	0	0	0	0	0
Super-Scaffold_1000452	4.36105196145981	4.3197351654542	3.87138865735136	3.98579065965434	3.96805253041153	4.15263300254456	3.91575833858522	4.0478443409603	3.82696484694679	4.05867558802007	46.0288539874822	4.09042775956061
Super-Scaffold_1000513	10.4721912180896	10.7526088076027	11.3464326341393	11.5225035538154	11.005700190382	10.9108190931869	11.1254284157618	10.8250373411206	10.7099573880203	10.5828200983405	47.8096214165342	10.8719708054695
Super-Scaffold_116	7.68282741400227	7.75552189178954	7.08458235177066	7.68796256475104	7.22515710351822	8.62881846600209	7.5448202376291	8.08577627431975	7.83287009994287	7.03066326890859	8.32536315144201	7.51705832889357
Super-Scaffold_123	11.8268829740983	11.5721156283734	10.9532377548397	11.8644952139105	10.8219692230702	11.3999681725136	11.1189766113346	11.3807537170727	36.2973540197628	11.1412762685936	11.4756577009416	11.1860343802641
Super-Scaffold_143	9.6324478414402	9.9094331071868	9.0525693631795	9.75568885427453	8.26168373131479	9.53461959290455	9.43704883925268	9.2456707187118	8.97819295636611	9.12700519188915	9.4601837641949	47.665333503412
Super-Scaffold_145	15.3050208929566	19.8827716139837	47.9985294672425	15.6506996496019	13.717881101361	15.0835533338117	14.145134481996	14.5520163977717	14.1240381066225	14.4542274488106	15.0684929480261	14.7571216910239
Super-Scaffold_156	8.14914672630902	8.0640668195434	7.63454291350367	7.91535374151263	7.36799062942634	7.51684511450436	7.33167258612278	8.12055893492212	44.4460732441369	7.24319891022302	7.68050020386183	8.00149420113267
Super-Scaffold_186	7.76375267970522	7.72187420305113	7.76744645103513	7.80823135108675	35.5834366887791	7.4709416438022	7.53489227267365	7.68493648975207	7.52994364186106	7.70111198251945	7.96185919508907	7.9790220537817
Super-Scaffold_188	11.8684837315387	11.310148531305	11.2416490038216	11.1450476233609	11.198285807142	11.3775990305365	11.0373003177244	11.2784759475474	46.3593827558113	11.3122667614289	11.3373022241315	11.3462290510823
Super-Scaffold_259	2.32748017501413	2.00247500437033	1.66276606061595	1.78177717616627	1.91950931767274	2.50389406755325	1.7410083367412	1.97195329818028	1.75928997566737	2.06654704877855	2.08826532197497	61.5950471038589
Super-Scaffold_259512	10.3779237407933	10.5583944322809	10.9698353706012	11.3597275696394	43.9172850794281	10.7227247786959	9.94807305277129	10.8623461868594	10.0357950859118	11.1261909867308	10.0492418385741	10.9648723735618
Super-Scaffold_287	16.2103182434121	17.7776078462328	16.4009978818855	18.4316250279565	59.2208693478576	15.8611911433871	15.9372492139296	17.1260574127429	16.432407809396	15.3635657996869	16.5888818723606	16.3701635289629
Super-Scaffold_302	11.2225879713731	10.2801870815939	57.0435926407207	10.5356559385364	9.2242211678841	10.2042264859999	9.98741099542296	9.98130967255476	10.2545929936884	10.6038893573174	10.3049944659778	14.8345711093446
Super-Scaffold_309	13.7087445104488	13.1902061933724	12.9450405727621	13.1399194214345	12.250111190814	12.4616466523201	12.7988638288447	41.7265406750612	12.58873696039	12.7392451279407	12.700015811457	13.1366092277635
Super-Scaffold_324	2.50321515663103	3.01436878634403	2.32799849934346	2.47959482273495	2.06271243669105	2.63443256424686	2.30674920277621	2.25617707747139	2.69391858938286	2.77489401613206	52.732170324517	2.61894578878259
Super-Scaffold_328	15.7561254813886	16.4618815474546	15.6234805746263	16.2150600244197	57.7859440960391	16.2573935053013	15.4576620629625	15.8937711853078	14.5743034285663	16.5105031594145	15.7714744627609	16.1984237091259
Super-Scaffold_355	7.33695662366354	7.05877094441225	7.03165878057151	7.40447135031329	7.0965541858818	6.66469748713938	7.14880933403599	7.17364600153408	34.854740190204	7.2600836057365	7.09075292048078	7.00626574171491
Super-Scaffold_364	11.6349584549211	11.241855728719	11.3768943437476	11.6457598005648	10.4891701907619	11.376275380438	11.141871359722	49.5416489513846	10.7547839107549	11.4542734752514	11.5744569708476	11.777982568424
Super-Scaffold_368	1.85081089727111	1.95186600629524	65.3992219499237	1.9751161076931	1.66471487682778	2.2284108241504	2.14845408723834	1.95845448711723	1.80610062857154	1.91547702695755	2.23077201380915	2.09327079989108
Super-Scaffold_39	2.61419938835802	2.59328694783724	2.31986652984822	63.2307627917314	2.32377769022167	2.45801275528981	2.48075810122545	2.83706336801421	2.28208270011503	2.64704736256457	2.61277058807399	2.81851782897405
Super-Scaffold_43790	9.67620544512231	9.10472818915108	9.07479514096121	9.19787710473855	8.55214237765609	8.9689739784099	9.04850891895494	9.38859284146349	8.84961468468827	9.14367401747582	52.6136082741114	9.75371788241128
Super-Scaffold_84	1.7328727520312	1.50170568873084	0.576237233055312	1.83447560331266	0.66325353638052	1.78888692521742	1.20844291344118	1.41763870309585	1.29148106732378	56.959623840821	1.56851116385335	1.72343036283695
Super-Scaffold_86	8.70804811388139	8.67355934859288	8.20806751095935	8.73285355358272	7.89914432262741	7.954034249915	50.8486639977302	8.57293035079806	8.14024619836289	8.37721763749676	8.57290753070633	8.58167805262465
Super-Scaffold_86564	62.5506873381328	20.022349429028	19.5585055865469	19.8838607625709	19.2751264954993	20.1876606517152	19.0131406215054	20.3208820488219	19.7409962108075	20.2855508267182	19.8537968098175	20.0115717855881
Super-Scaffold_86733	8.58207819075036	8.48707796890918	8.96094812309314	8.13121862143542	31.3834363807351	8.16710469424631	8.10716407808462	8.47685587544183	9.87315034481079	7.66926699325168	7.87771070344532	7.8560050666785
Super-Scaffold_86875	9.6214741970994	8.03767663559998	7.52992641967745	7.63599954937907	33.5848456349051	7.3318304196977	7.77021539089889	7.38963479029882	7.73966767971991	7.65477542158162	7.34642918774733	7.57216158389039
Super-Scaffold_89	7.1739399189421	57.7083679143497	6.38216432207375	7.01670435997455	6.83757469499544	6.69516574681163	6.76445745843362	6.76722393974604	6.81574542838963	7.03667489694857	6.41717760118405	6.90535348714969
Super-Scaffold_90	1.38530784326029	1.19625417970492	1.15611560102253	1.3087906840179	1.31899297191689	1.09008811807065	57.4909460682155	1.27566917189514	1.03263438879913	1.16265368692962	1.13959076851009	1.01196637364227
